"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5283","Filter Products Z to A and Selecting the First Product","chromium","Sat Nov 08 22:36:30 GMT+06:00 2025","passed","Sat Nov 08 22:36:35 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","prodPurchaseByFilter.spec.js","",""
"","87","Successfully Finish the Checkout Process and Verify the Order Confirmation Message","chromium","Sat Nov 08 22:36:35 GMT+06:00 2025","passed","Sat Nov 08 22:36:35 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","prodPurchaseByFilter.spec.js","",""
"","157","Successfully Login with 'standard_user' user_name","chromium","Sat Nov 08 22:36:21 GMT+06:00 2025","passed","Sat Nov 08 22:36:21 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","randomProdCheckout.spec.js","",""
"","164","Fillup Checkout Form and Successfully Verify the Checkout Details","chromium","Sat Nov 08 22:36:35 GMT+06:00 2025","passed","Sat Nov 08 22:36:35 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","prodPurchaseByFilter.spec.js","",""
"","420","Add 3 Products Randomly to the cart","chromium","Sat Nov 08 22:36:25 GMT+06:00 2025","passed","Sat Nov 08 22:36:25 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","randomProdCheckout.spec.js","",""
"","998","Reset App State from the HamBurger Menu","chromium","Sat Nov 08 22:36:24 GMT+06:00 2025","passed","Sat Nov 08 22:36:25 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","randomProdCheckout.spec.js","",""
"","82","Successfully Finish the Checkout Process and Verify the Order Confirmation Message","chromium","Sat Nov 08 22:36:25 GMT+06:00 2025","passed","Sat Nov 08 22:36:25 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","randomProdCheckout.spec.js","",""
"","1045","Reset the App State and Logout from the SauceDemo Site","chromium","Sat Nov 08 22:36:25 GMT+06:00 2025","passed","Sat Nov 08 22:36:26 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","randomProdCheckout.spec.js","",""
"","1167","Reset App State from the HamBurger Menu","chromium","Sat Nov 08 22:36:28 GMT+06:00 2025","passed","Sat Nov 08 22:36:29 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","prodPurchaseByFilter.spec.js","",""
"","1011","Reset the App State and Logout from the SauceDemo Site","chromium","Sat Nov 08 22:36:35 GMT+06:00 2025","passed","Sat Nov 08 22:36:36 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","prodPurchaseByFilter.spec.js","",""
"","5193","Successfully Login with 'performance_glitch_user' user_name","chromium","Sat Nov 08 22:36:21 GMT+06:00 2025","passed","Sat Nov 08 22:36:26 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","prodPurchaseByFilter.spec.js","",""
"","157","Locked_out_user should not be Login Successfully","chromium","Sat Nov 08 22:36:21 GMT+06:00 2025","passed","Sat Nov 08 22:36:21 GMT+06:00 2025","SauceDemo authenitacation verification with locked_out_user username","authenticate.spec.js","",""
"","259","Fillup Checkout Form and Successfully Verify the Checkout Details","chromium","Sat Nov 08 22:36:25 GMT+06:00 2025","passed","Sat Nov 08 22:36:25 GMT+06:00 2025","Random Product Checkout Flow Verification from SauceDemo site","randomProdCheckout.spec.js","",""
